Date,Activity,Route number,Name,Elapsed seconds,Distance (km),Pace,Weight,Steps,Notes
2015-10-01,,457413,MTV Corrected 5k,1444,4.98,4.83,168,,"Consolidation, strong"
2015-09-29,,274992,Pettis Loop2 (Mtn View),1043,3.51,4.95,165,,"consolidation, strong"
2015-09-27,,143116,Greenlake 3k,1124,3.90,4.80,,,Decent effort.
2015-09-23,,457413,MTV Corrected 5k,1409,4.98,4.71,,,Strong
2015-09-20,,143114,Reservoir Basic,1072,3.40,5.25,,,"Consolidation, lo caf?"
2015-09-18,,274992,Pettis Loop2 (Mtn View),1021,3.51,4.85,,,"Consolidation, felt strong, lo sleep"
2015-09-15,,389200,Los Altos2,986,3.36,4.89,,,Consolidation. Strong bursts.
2015-09-12,,143114,Reservoir Basic,965,3.40,4.73,168,,"strong start, good effort, V.O2max"
2015-09-10,,274992,Pettis Loop2 (Mtn View),1018,3.51,4.84,,,strong start
2015-09-06,Run,,,1534,5.13,4.98,,,GL 5k + wrong turn.
2015-09-04,,274992,Pettis Loop2 (Mtn View),1026,3.51,4.87,170,,strong start. 12min 3rd dwy.
2015-09-02,,389200,Los Altos2,1018,3.36,5.05,,,bleh! slow start
2015-08-30,,340040,Greenlake out & around,1924,6.21,5.16,,,"Consolidation run
"
2015-08-28,,372822,New MTV 5kA,1498,5.04,4.95,,,"consolidation, low sleep
"
2015-08-25,,274992,Pettis Loop2 (Mtn View),1050,3.51,4.99,,,Slow start. 12:09 third driveway.
2015-08-22,,143116,Greenlake 3k,1158,3.90,4.95,,,Consolidation/ low caf/ took week off for R knee.
2015-08-15,,143114,Reservoir Basic,962,3.40,4.71,,,PR! Strong start. good push.
2015-08-11,,143116,Greenlake 3k,1109,3.90,4.74,,,Nice!  (prior runs at Brule not recorded).
2015-07-29,,143116,Greenlake 3k,1172,3.90,5.01,,,Consolidation run. took easy.
2015-07-25,,143114,Reservoir Basic,974,3.40,4.77,,,Nice! fast start. (almost PR)
2015-07-22,,457413,MTV Corrected 5k,1413,4.98,4.72,,, Strong start push
2015-07-20,,143114,Reservoir Basic,1056,3.40,5.17,,,"slow start, low sleep. lo mo."
2015-07-18,,143116,Greenlake 3k,1123,3.90,4.80,,,Strong (legs hurt from intervals and full stomach at start!).  No red lights
2015-07-16,Intervals,,,,,,169,,3x30sec all out(!)
2015-07-13,,434659,Cowen Park Ravine,1188,4.10,4.83,,,Consolidation run.
2015-07-11,,143116,Greenlake 3k,1085,3.90,4.64,,,Who hoo!   (3 lights though)
2015-07-09,,389200,Los Altos2,961,3.36,4.77,,,RoutePR: Strong start - long lite
2015-07-07,,274992,Pettis Loop2 (Mtn View),1037,3.51,4.93,,,low sleep- conditioning run
2015-07-04,,340040,Greenlake out & around,1820,6.21,4.88,,,Hot!  (break at 22.5min)
2015-07-02,,389200,Los Altos2,976,3.36,4.84,168,,OK
2015-06-30,,372822,New MTV 5kA,1463,5.04,4.83,,,low sleep
2015-06-18,,274992,Pettis Loop2 (Mtn View),1026,3.51,4.87,,,eh.
2015-06-16,,389200,Los Altos2,984,3.36,4.88,,,meh! good push
2015-06-14,,434659,Cowen Park Ravine,1118,4.00,4.66,,,New Route go to 15th to make up shortcut.
2015-06-12,,143114,Reservoir Basic,982,3.40,4.81,170,,Solid
2015-06-09,,457413,MTV Corrected 5k,1425,4.98,4.76,,,Sweet
2015-06-06,,143116,Greenlake 3k,1113,3.90,4.76,,,Strong!  (felt slow at start)
2015-06-03,,274992,Pettis Loop2 (Mtn View),1067,3.51,5.07,,,"still recovering from head cold.
"
2015-06-01,,143116,Greenlake 3k,1189,3.90,5.08,,,Took it easy. Back from headcold
2015-05-23,,143116,Greenlake 3k,1095,3.90,4.68,,,strong! (good sleep/caff)
2015-05-19,,274992,Pettis Loop2 (Mtn View),1027,3.51,4.88,,,Ok effort w/ bursts of speed.
2015-05-16,,143114,Reservoir Basic,1020,3.40,5.00,,,Lo mo.  
2015-05-13,,389200,Los Altos2,988,3.36,4.90,,,"took it easy. Consolidation
"
2015-05-09,,143116,Greenlake 3k,1089,3.90,4.65,,,swift!  (strong start)
2015-05-06,,274992,Pettis Loop2 (Mtn View),1012,3.51,4.81,167,,Felt strong - maybe slow start?
2015-05-04,,143114,Reservoir Basic,1047,3.40,5.13,,,Yuk!  Legs felt like lead for a while.
2015-05-02,,340040,Greenlake out & around,1840,6.21,4.94,,,Strong - beautiful weather
2015-04-28,,389200,Los Altos2,1003,3.36,4.98,168,,"meh
"
2015-04-25,,242812,Greenlake out-and-back 5k,1504,4.90,5.11,,,Legs hurt (7 cement blocks!)
2015-04-22,,274992,Pettis Loop2 (Mtn View),1049,3.51,4.98,,,slow warm-up
2015-04-18,,143114,Reservoir Basic,985,3.40,4.83,,,"Meh - route improve.
"
2015-04-14,,389200,Los Altos2,1028,3.36,5.10,,,Relaxed consolidation run
2015-04-11,,242812,Greenlake out-and-back 5k,1462,4.90,4.97,,,Relaxed consolidation run
2015-04-09,,372759,New MTV 5k,1404,5.10,4.59,167,,"PR!!  Whoo hoo!
"
2015-04-08,Bike,408865,Google Bike Commute: Rengsdorf,918,5.28,2.90,,,First MTV bike to work!
2015-04-06,,143114,Reservoir Basic,1011,3.40,4.95,,,meh! seemed hard
2015-04-04,,143116,Greenlake 3k,1210,3.90,5.17,,,Relaxed - consolidation run.
2015-04-02,,372822,New MTV 5kA,1422,5.04,4.70,,,"Nice!
"
2015-03-30,,143114,Reservoir Basic,1018,3.40,4.99,170,,tired legs (killer hikes in Winthrop)
2015-03-28,,404872,Gunn Ranch Winthrop,1110,3.70,5.00,,,Nice new Route (altitude)
2015-03-24,,274992,Pettis Loop2 (Mtn View),1061,3.51,5.04,,,"Meh!  (low sleep night, early rise)"
2015-03-21,,143116,Greenlake 3k,1161,3.90,4.96,,,Relaxed training run.
2015-03-19,,291327,Pettis Loop 5K,1479,5.13,4.81,,,Strong - no music. (route PR)
2015-03-17,,389200,Los Altos2,974,3.36,4.83,,,long light at ECR!
2015-03-14,,143114,Reservoir Basic,1010,3.40,4.95,,,"But - added distance / wrong turn.
"
2015-03-12,,372759,New MTV 5k,1440,5.10,4.71,168,,Slow first 5 min!  Sweet run.
2015-03-10,,274992,Pettis Loop2 (Mtn View),1033,3.51,4.91,,,Slow start. legs felt bad first 5 min.  Strong finish.
2015-03-07,,340040,Greenlake out & around,1850,6.21,4.96,,,"took it easy - strong finish - low caff.
"
2015-03-04,,389200,Los Altos2,961,3.36,4.77,,,Strong! (1 long light)
2015-03-03,,143114,Reservoir Basic,1043,3.40,5.11,169,,relaxed consolidation run.
2015-02-28,,143116,Greenlake 3k,1106,3.90,4.73,,,Nice!
2015-02-26,,372759,New MTV 5k,1407,5.10,4.60,,,"WOW! PR for 5k (2 reds near end though)
"
2015-02-24,,274992,Pettis Loop2 (Mtn View),1021,3.51,4.85,,,Felt strong (slow start?)
2015-02-22,Race!,392292,UW MSF 5k Run,1380,4.60,5.00,,,Fun - seemed hard.  Too fast on start.
2015-02-20,,274992,Pettis Loop2 (Mtn View),1059,3.51,5.03,168,,Relaxed training run.
2015-02-18,,389200,Los Altos2,1006,3.36,4.99,170,,meh.
2015-02-15,,143114,Reservoir Basic,997,3.40,4.88,,,3:06 @ 65th (too strong start?)
2015-02-13,,274992,Pettis Loop2 (Mtn View),1036,3.51,4.92,,,Thinking about salary negot.!
2015-02-11,,389200,Los Altos2,1058,3.36,5.25,,,New route
2015-02-08,,340040,Greenlake out & around,1960,6.21,5.26,,,Training / 30 sec walk / ska last night!
2015-02-06,,291327,Pettis Loop 5K,1518,5.13,4.93,,,OK.
2015-02-04,,274992,Pettis Loop2 (Mtn View),1100,3.51,5.22,168,,low caff.  Feet of lead!
2015-02-01,,143116,Greenlake 3k,1135,3.90,4.85,,,good start.  Vo2 max?
2015-01-30,,372759,New MTV 5k,1466,5.10,4.79,,,5KPR! Awesome!  Strong finish.
2015-01-28,,274992,Pettis Loop2 (Mtn View),1033,3.51,4.91,170,,After Hawaii break
2015-01-16,,274992,Pettis Loop2 (Mtn View),1149,3.51,5.46,,,Took it easy (left heel??)
2015-01-14,,274992,Pettis Loop2 (Mtn View),1037,3.51,4.93,168,,OK good push.
2015-01-11,,340040,Greenlake out & around,,6.21,,,,Good run. left watch in MV!
2015-01-09,,274992,Pettis Loop2 (Mtn View),1047,3.51,4.97,,,"felt good but..
"
2015-01-06,,274992,Pettis Loop2 (Mtn View),1139,3.51,5.41,,,Took it easy (cold!)
2015-01-04,,143118,Reservoir 5k,1520,4.98,5.08,,,hot start (3:02 to 65th) too much?
2015-01-02,,372759,New MTV 5k,1491,5.10,4.87,,,blah start...
2014-12-31,,274992,Pettis Loop2 (Mtn View),1062,3.51,5.04,170,,Meh... strong finish
2014-12-29,,143114,Reservoir Basic,1009,3.40,4.94,,,Cold & sunny.
2014-12-27,,242812,Greenlake out-and-back 5k,1501,4.90,5.10,,,Strong finish
2014-12-25,,,,,6.00,,,,Christmas run/walk Glake
2014-12-23,,143114,Reservoir Basic,1051,3.40,5.15,,,Took it easy.
2014-12-21,,143116,Greenlake 3k,1132,3.90,4.84,,,Strong start and good push.
2014-12-19,,143114,Reservoir Basic,996,3.40,4.88,,,blah but pushed hard. 
2014-12-17,,143118,Reservoir 5k,1609,4.98,5.38,,,blah.
2014-12-14,,372759,New MTV 5k,1513,5.10,4.94,168,,felt stiff on start. took easy?
2014-12-12,,274992,Pettis Loop2 (Mtn View),1074,3.51,5.10,168,,lo mo
2014-12-10,,372822,New MTV 5kA,1567,5.04,5.18,,,New Route/wrong turn.
2014-12-07,,143116,Greenlake 3k,1118,3.90,4.78,,,very strong start. cramp near end.
2014-12-05,,291327,Pettis Loop 5K,1533,5.13,4.98,169,,"so so at start.
"
2014-12-03,,274992,Pettis Loop2 (Mtn View),1064,3.51,5.05,,,"Rain!, New shoes. Strong finish"
2014-11-30,,143116,Greenlake 3k,1164,3.90,4.97,,,tail end of cold. 
2014-11-26,,370031,Greenlake mini 3k,1015,3.21,5.27,,,Getting over headcold.
2014-11-19,,,,879,3.12,4.70,,,Westin Arlington Treadmill
2014-11-16,,274992,Pettis Loop2 (Mtn View),1025,3.51,4.87,,,Slow start; strong finish.
2014-11-14,,291327,Pettis Loop 5K,1585,5.13,5.15,168,,took easy. plenty left at end.
2014-11-12,,274992,Pettis Loop2 (Mtn View),1007,3.51,4.78,,,Strong start good lungs. PR+1
2014-11-10,,143117,Greenlake 5k,1516,5.01,5.04,,,"crisp.
"
2014-11-07,,291327,Pettis Loop 5K,1529,5.13,4.97,,,"mid-push, strong end."
2014-11-05,,274992,Pettis Loop2 (Mtn View),1046,3.51,4.97,,,good lungs.
2014-11-01,,242812,Greenlake out-and-back 5k,1443,4.90,4.91,,,48deg. route PR!
2014-10-30,,274992,Pettis Loop2 (Mtn View),1034,3.51,4.91,,,"OK - strong start.
"
2014-10-28,,291327,Pettis Loop 5K,1545,5.13,5.02,,,Decent - crisp weather
2014-10-22,,,,1046,3.28,5.32,,,"Koreana Hotel treadmill
"
2014-10-17,,143114,Reservoir Basic,980,3.40,4.80,,,"Strong start!
"
2014-10-14,,291327,Pettis Loop 5K,1530,5.13,4.97,,,"Strong - not push
"
2014-10-13,,358344,Rihely Pl / Encinitas,1064,3.41,5.20,,,First time at Phil/Shawn's
2014-10-08,,291327,Pettis Loop 5K,1635,5.13,5.31,,,Took easy; felt very strong
2014-10-05,,143116,Greenlake 3k,1084,3.90,4.63,,,PR!  Strong (3 R lights)
2014-10-04,,144248,Greenlake out-and-back 5k (deprecated),1466,4.71,5.18,,,Conversational: Rainer Leushke
2014-10-01,,274992,Pettis Loop2 (Mtn View),1057,3.51,5.02,,,"strong, low motiv./sleep"
2014-09-28,,143114,Reservoir Basic,1031,3.40,5.05,,,low caff?  GI prob?
2014-09-27,,340040,Greenlake out & around,1820,6.21,4.88,,,"Strong start! (routePR)
"
2014-09-24,,274992,Pettis Loop2 (Mtn View),1026,3.51,4.87,,,"strong 2nd half (slow start?)
"
2014-09-22,,143116,Greenlake 3k,1123,3.90,4.80,,,"Strong start --- too strong?
"
2014-09-20,,340040,Greenlake out & around,1990,6.21,5.34,,,"'conversation pace'
"
2014-09-18,,143114,Reservoir Basic,995,3.40,4.88,,,"Solid
"
2014-09-14,,,,1309,,,166,,Kitty's house fun - 
2014-09-12,,274992,Pettis Loop2 (Mtn View),1001,3.51,4.75,,,"route PR!  strong push
"
2014-09-10,,274992,Pettis Loop2 (Mtn View),1017,3.51,4.83,,,"Strong finish.
"
2014-09-07,,340040,Greenlake out & around,1931,6.21,5.18,,,No stops! strong finish
2014-09-05,,274992,Pettis Loop2 (Mtn View),1023,3.51,4.86,,,Caff++
2014-09-01,,340040,Greenlake out & around,1900,6.21,5.10,,,New!  one stop
2014-08-28,,143114,Reservoir Basic,991,3.40,4.86,,,mentally off(!) good 2nd half.
2014-08-26,,143116,Greenlake 3k,1219,3.90,5.21,,,Maintenance run. angry driver!
2014-08-24,,143114,Reservoir Basic,988,3.40,4.84,,,"Nice. (Olypenn hikes!)
"
2014-08-16,,143116,Greenlake 3k,1115,3.90,4.76,,,"legs strong. V.O2 lim. 1:00PM
"
2014-08-14,,274992,Pettis Loop2 (Mtn View),1017,3.51,4.83,,,"Strong, 'race pace'"
2014-08-11,,274992,Pettis Loop2 (Mtn View),1170,3.51,5.56,,,took it easy. too many grapes!?
2014-08-09,,274992,Pettis Loop2 (Mtn View),1044,3.51,4.96,,,good cardio. too full bkfst?
2014-08-07,,274992,Pettis Loop2 (Mtn View),1051,3.51,4.99,,,good push; low sleep
2014-08-05,,143114,Reservoir Basic,1029,3.40,5.04,,,slow start; tiger mtn yesterday?
2014-08-03,,144248,Greenlake out-and-back 5k (deprecated),1448,4.71,5.12,,,conditioning run
2014-07-31,,274992,Pettis Loop2 (Mtn View),1064,3.51,5.05,,,took easy on neck/r shoulder
2014-07-27,,143116,Greenlake 3k,1140,3.90,4.87,,,Nice..
2014-07-25,,143116,Greenlake 3k,1146,3.90,4.90,,,"Felt strong, good start."
2014-07-23,,,,900,,,,,treadmill in Pittsburg Hotel
2014-07-20,,143114,Reservoir Basic,1032,3.40,5.06,,,basic run. knee  OK.
2014-07-18,,274992,Pettis Loop2 (Mtn View),1072,3.51,5.09,,,Back from resting/ibu right knee.
2014-07-13,,143116,Greenlake 3k,1144,3.90,4.89,,,had a pacer on start. 3:55 to 65th!
2014-07-10,,274992,Pettis Loop2 (Mtn View),1040,3.51,4.94,,,"felt strong, no tunes, cool"
2014-07-08,,291327,Pettis Loop 5K,1543,5.13,5.01,,,cool temp. No music.
2014-07-06,,143116,Greenlake 3k,1201,3.90,5.13,,,"under caf? hot sun?
"
2014-07-04,,143114,Reservoir Basic,1031,3.40,5.05,,,Felt sluggish
2014-07-02,,291327,Pettis Loop 5K,1617,5.13,5.25,,,Thinking about software/ took easy
2014-07-01,,274992,Pettis Loop2 (Mtn View),1038,3.51,4.93,,,caffinated
2014-06-28,,274992,Pettis Loop2 (Mtn View),1027,3.51,4.88,,,consistent!
2014-06-26,,291327,Pettis Loop 5K,1503,5.13,4.88,,,Nice - training runs in SoCal?
2014-06-23,,,,1041,3.25,5.34,,,Santa Monica (time based)
2014-06-21,,,,1098,3.27,5.60,,,Santa Barbara (time based)
2014-06-18,,291327,Pettis Loop 5K,1533,5.13,4.98,,,got the route right this time. 
2014-06-15,,143118,Reservoir 5k,1648,4.98,5.51,,,took it easy for Father's Day!
2014-06-13,,143116,Greenlake 3k,1169,3.90,4.99,,,"groggy
"
2014-06-11,,274992,Pettis Loop2 (Mtn View),1045,3.51,4.96,,,low sleep!
2014-06-08,,143114,Reservoir Basic,1037,3.40,5.08,,,"Back from HongKong
"
2014-05-31,,143117,Greenlake 5k,1501,5.01,4.99,170,,"late AM, 2nd coffee, nice weather!"
2014-05-29,,274992,Pettis Loop2 (Mtn View),1060,3.51,5.03,,,felt solid
2014-05-27,,144248,Greenlake out-and-back 5k (deprecated),1525,4.71,5.39,,,
2014-05-22,,274992,Pettis Loop2 (Mtn View),1051,3.51,4.99,,,deal with it body!
2014-05-20,,291327,Pettis Loop 5K,1554,5.13,5.05,,,New route.
2014-05-17,,143117,Greenlake 5k,1520,5.01,5.06,,,Nice!
2014-05-14,,274992,Pettis Loop2 (Mtn View),1050,3.51,4.99,,,
2014-05-09,,274992,Pettis Loop2 (Mtn View),1065,3.51,5.06,,,Exact same as last one!
2014-05-07,,274992,Pettis Loop2 (Mtn View),1065,3.51,5.06,,,Hmm.
2014-05-03,,143116,Greenlake 3k,1229,3.90,5.25,,,took it easy - emphasized rythm.
2014-05-01,,274992,Pettis Loop2 (Mtn View),1041,3.51,4.94,,,Nice!
2014-04-27,,143116,Greenlake 3k,1157,3.90,4.94,,,Top Pot 5k(!)
2014-04-24,,274992,Pettis Loop2 (Mtn View),1078,3.51,5.12,,,pre-stretched
2014-04-22,,274992,Pettis Loop2 (Mtn View),1059,3.51,5.03,,,didn't even stretch - leg that good.
2014-04-20,,143118,Reservoir 5k,1541,4.98,5.15,,,First 5k in a while. Leg great!
2014-04-17,,274992,Pettis Loop2 (Mtn View),,3.51,,,,good run - forgot to start watch
2014-04-15,,,,1293,4.18,5.16,,,Pettis loop w/ wrong turn. No music!
2014-04-12,,143114,Reservoir Basic,986,3.40,4.83,,,Nice!
2014-04-09,,274992,Pettis Loop2 (Mtn View),1071,3.51,5.09,,,First Mtn View RUN!!
2014-04-06,,143116,Greenlake 3k,1201,3.90,5.13,,,Had cold and Mtn View startup.
2014-03-29,,143116,Greenlake 3k,1180,3.90,5.04,165,,Back after 2nd ankle sprain rest. 
2014-03-18,,143114,Reservoir Basic,1046,3.40,5.13,,,No music (time off for small ankle sprain)
2014-03-13,,143118,Reservoir 5k,1547,4.98,5.17,,,continued dynamic stretch
2014-03-11,,143116,Greenlake 3k,1141,3.90,4.88,,,leg pretty good. sunny.
2014-03-09,,249629,The Big Square,1588,5.10,5.18,,,went 28th instead of 29th!! (leg better after dynam stretch)
2014-03-06,,143114,Reservoir Basic,1035,3.40,5.07,,,Started squats for dynamic stretching (Dr. Wienstein)
2014-03-01,,143118,Reservoir 5k,1547,4.98,5.17,,,felt good. (touch toes b4 bkfst)
2014-02-27,,143116,Greenlake 3k,,3.90,,,,"screwed up timer. 
"
2014-02-25,,143116,Greenlake 3k,1194,3.90,5.10,,,Tired!
2014-02-24,Hike,,,10800,11.27,15.98,,,Bear Canyon Tucson
2014-02-22,Hike,,,18000,17.70,16.95,,,Aqua Caliente Canyon Tucson
2014-02-20,,143114,Reservoir Basic,1060,3.40,5.19,,,"Bad motivation, sore leg!"
2014-02-17,,144248,Greenlake out-and-back 5k (deprecated),1505,4.71,5.32,,,day after skiing
2014-02-11,,249629,The Big Square,1709,5.10,5.58,,,leg hurt whole time.
2014-02-08,,144248,Greenlake out-and-back 5k (deprecated),1500,4.71,5.30,,,re-start stretching.
2014-02-04,,143118,Reservoir 5k,1547,4.98,5.17,,,good push. leg good. 28deg
2014-02-02,,143117,Greenlake 5k,1672,5.01,5.56,,,took it easy. bad start on ham.
2014-01-30,,143114,Reservoir Basic,1027,3.40,5.03,,,"Hamstring, low sleep"
2014-01-28,,249629,The Big Square,1685,5.10,5.50,,,leg felt decent
2014-01-26,,249629,The Big Square,1692,5.10,5.52,,,New Route +130M vertical!
2014-01-23,,242812,Greenlake out-and-back 5k,1502,4.90,5.11,,,
2014-01-21,,143116,Greenlake 3k,1164,3.90,4.97,,,3k by mistake!
2014-01-19,,143118,Reservoir 5k,1567,4.98,5.24,,,Bye to Sophia!
2014-01-14,,143118,Reservoir 5k,1555,4.98,5.20,,,"low sleep, took it easy"
2014-01-11,,242812,Greenlake out-and-back 5k,1486,4.90,5.05,,,pushed it a bit - windy!
2014-01-09,,161151,Alec's UW 5k,1702,4.99,5.68,,,legs stiff at first. No music
2014-01-07,,143117,Greenlake 5k,1582,5.01,5.26,,,Kicked back a bit. Leg acting up.
2014-01-04,,144248,Greenlake out-and-back 5k (deprecated),1515,4.90,5.15,170,,"rough start & low sleep
"
2014-01-02,,143117,Greenlake 5k,1551,5.01,5.16,,,better sleep
2013-12-31,,143118,Reservoir 5k,1543,4.98,5.16,,,"better sleep!
"
2013-12-27,,143117,Greenlake 5k,1602,5.01,5.33,,,low sleep
2013-12-25,,143118,Reservoir 5k,1621,4.98,5.42,,,"not feeling 100%
"
2013-12-23,,143117,Greenlake 5k,1540,5.01,5.12,,,headwind?
2013-12-21,,143117,Greenlake 5k,1509,5.01,5.02,,,
2013-12-18,,143116,Greenlake 3k,1214,3.90,5.19,,,no mental focus. 
2013-12-15,,143116,Greenlake 3k,1185,3.90,5.06,,,
2013-12-13,,143114,Reservoir Basic,1045,3.40,5.12,,,"(3 runs in Hawaii!!)
"
2013-12-03,,143116,Greenlake 3k,1143,3.90,4.88,,,33deg!
2013-12-01,,143114,Reservoir Basic,1022,3.40,5.01,,,
2013-11-29,,235573,Santa Fe Route,1008,2.51,6.70,,,7000 ft. Altitude!!!
2013-11-26,,143116,Greenlake 3k,1177,3.90,5.03,,,Leg acting up!
2013-11-22,,234220,Upper Reservoir Park,1491,4.62,5.38,,,New - up to park (with a rest stop on top) Sunny!
2013-11-20,,143116,Greenlake 3k,1219,3.90,5.21,,,32 and sunny! (took it easy)
2013-11-17,,143114,Reservoir Basic,968,3.40,4.74,,,Pushed for speed: PR!!
2013-11-15,,143118,Reservoir 5k,1565,4.98,5.23,,,Trying the slow pace idea. 
2013-11-13,,143116,Greenlake 3k,1225,3.90,5.23,171,,"No sleep! stiff legs (virus??)
took it easy."
2013-11-10,,143114,Reservoir Basic,1007,3.40,4.93,,,
2013-11-08,,144248,Greenlake out-and-back 5k (deprecated),1472,4.90,5.01,,,
2013-11-05,,143114,Reservoir Basic,1034,3.40,5.07,,,New ASICS GT-2000 shoes
2013-11-03,,143116,Greenlake 3k,1189,3.90,5.08,,,worked on slower pace
2013-10-30,,143114,Reservoir Basic,988,3.40,4.84,,,
2013-10-27,,143117,Greenlake 5k,1479,5.01,4.92,,,
2013-10-25,,143116,Greenlake 3k,1161,3.90,4.96,,,
2013-10-22,,143118,Reservoir 5k,1506,4.98,5.04,,,
2013-10-20,,143116,Greenlake 3k,1162,3.90,4.96,,,
2013-10-17,,143114,Reservoir Basic,1000,3.40,4.90,,,
2013-10-13,,143114,Reservoir Basic,1005,3.40,4.92,,,
2013-10-11,,144248,Greenlake out-and-back 5k (deprecated),1483,4.90,5.04,,,
2013-10-08,,143114,Reservoir Basic,1013,3.40,4.96,,,
2013-10-06,,224778,Uphill to Quest,1483,4.48,5.51,,,WAY up hill!
2013-10-04,,143116,Greenlake 3k,1159,3.90,4.95,,,
2013-10-02,,143114,Reservoir Basic,1025,3.40,5.02,170,,
2013-09-28,,,,1142,3.50,5.44,170,,"Lincoln Park / Fullerton Beach
"
2013-09-24,,143114,Reservoir Basic,1034,3.40,5.07,,,
2013-09-21,,143116,Greenlake 3k,1178,3.90,5.03,,,
2013-09-17,,143114,Reservoir Basic,1022,3.40,5.01,,,"Finally broke 5:04!
"
2013-09-15,,143117,Greenlake 5k,1521,5.01,5.06,,,"Wow - I'm consistent at least!
"
2013-09-12,,143114,Reservoir Basic,1035,3.40,5.07,,,
2013-09-10,,143116,Greenlake 3k,1186,3.90,5.07,,,
2013-09-08,,143114,Reservoir Basic,1033,3.40,5.06,,,
2013-09-06,,,,1440,4.59,5.23,,,BG Trail / Univ Inn.
2013-09-03,,143116,Greenlake 3k,1186,3.90,5.07,,,
2013-09-01,,143118,Reservoir 5k,1572,4.98,5.26,,,long break -college trips 
2013-08-24,,143116,Greenlake 3k,1159,3.90,4.95,,,Back from back trouble and food poisoning!
2013-08-18,,143114,Reservoir Basic,991,3.40,4.86,,,Bringing back the pace.
2013-08-16,,143114,Reservoir Basic,1009,3.40,4.94,,,
2013-08-13,,144248,Greenlake out-and-back 5k (deprecated),1495,4.90,5.09,,,
2013-08-11,,,,1460,4.02,6.05,,,Union League Club Treadmill (incline)
2013-08-06,,143114,Reservoir Basic,1056,3.40,5.17,,,
2013-08-04,,143116,Greenlake 3k,1182,3.90,5.05,,,
2013-08-01,Run,143116,Greenlake 3k,1275,3.90,5.45,,,mp3 Malfunction!
2013-07-28,Run,204212,"Port Angeles, Cherry St.",1218,3.78,5.37,,,"First PA Run! (felt good)
"
2013-07-25,Run,143116,Greenlake 3k,1179,3.90,5.04,,,
2013-07-21,Run,143116,Greenlake 3k,1205,3.90,5.15,,,
2013-07-18,Run,143114,Reservoir Basic,1062,3.40,5.20,,,
2013-07-14,Run,143116,Greenlake 3k,1222,3.90,5.22,,,
2013-07-11,Run,143114,Reservoir Basic,1059,3.40,5.19,,,
2013-07-06,Run,143114,Reservoir Basic,1043,3.40,5.11,170,,I'm baaack! (tight L hamstring)
2013-05-19,Run,143114,Reservoir Basic,1073,3.40,5.26,170,,Slow and easy - hamstring
2013-05-16,Run,143116,Greenlake 3k,,3.90,,170,,Slow and easy (forgot to start timer)
2013-05-12,Run,143116,Greenlake 3k,1160,3.90,4.96,170,,still hamstrung!
2013-05-09,Run,143114,Reservoir Basic,981,3.40,4.81,170,,slight improvement in hamstring
2013-05-05,Run,143114,Reservoir Basic,1001,3.40,4.90,170,,
2013-05-02,Run,143114,Reservoir Basic,1001,3.40,4.90,165,,still on hamstring break
2013-04-27,Run,143116,Greenlake 3k,1153,3.90,4.93,170,,"Back from 9days off - Europe
"
2013-04-18,Run,143114,Reservoir Basic,1021,3.40,5.00,169,,
2013-04-16,Run,143116,Greenlake 3k,1140,3.90,4.87,170,,
2013-04-13,Run,143116,Greenlake 3k,1130,3.90,4.83,173,,
2013-04-10,Run,143116,Greenlake 3k,1155,3.90,4.94,173,,
2013-04-07,Run,143114,Reservoir Basic,1002,3.40,4.91,173,,hamstring better but still there.
2013-04-05,Run,143114,Reservoir Basic,1023,3.40,5.01,175,,
2013-04-02,Run,143116,Greenlake 3k,1270,3.90,5.43,175,,easing off for hamstring
2013-03-31,Run,143116,Greenlake 3k,1182,3.90,5.05,175,,"easing for left hamstring
"
2013-03-27,Run,143117,Greenlake 5k,1499,5.01,4.99,175,,
2013-03-23,Run,144248,Greenlake out-and-back 5k (deprecated),1422,4.90,4.84,175,,
2013-03-21,Run,143114,Reservoir Basic,977,3.40,4.79,175,,
2013-03-19,Run,143118,Reservoir 5k,1484,4.98,4.96,175,,
2013-03-17,Run,161151,Alec's UW 5k,1521,4.99,5.08,175,,New!
2013-03-13,Run,144248,Greenlake out-and-back 5k (deprecated),1459,4.71,5.16,175,,"-2hrs sleep!
"
2013-03-11,Run,143114,Reservoir Basic,1022,3.40,5.01,175,,
2013-03-09,run,143117,Greenlake 5k,1473,5.01,4.90,175,,
2013-03-05,Run,143116,Greenlake 3k,1135,3.90,4.85,174,,
2013-03-03,Run,144248,Greenlake out-and-back 5k (deprecated),1457,4.90,4.96,174,,"crowds!
"
2013-03-01,Run,143114,Reservoir Basic,1001,3.40,4.90,175,,
2013-02-27,Run,143118,Reservoir 5k,1517,4.98,5.07,175,,
2013-02-25,Run,156124,,1244,4.26,4.87,175,,Detour
2013-02-23,Run,143117,Greenlake 5k,1474,5.01,4.90,175,,
2013-02-21,Run,143114,Reservoir Basic,1029,3.40,5.04,174,,
2013-02-13,Run,143118,Reservoir 5k,1514,4.98,5.06,174,,
2013-02-11,Run,143116,Greenlake 3k,1142,3.90,4.88,174,,
2013-02-09,Run,144248,Greenlake out-and-back 5k (deprecated),1455,4.71,5.15,174,,"red light x 2
"
2013-02-05,run,143118,Reservoir 5k,1521,4.98,5.09,174,,
2013-02-03,Run,143117,Greenlake 5k,1523,5.01,5.07,174,,
2013-02-01,Run,143114,Reservoir Basic,1038,3.40,5.09,174,,
